image_index,concept,verdict,macro_cluster
0,atheroscleroses,Uncertain,0
0,atrial structure (body structure),Uncertain,0
0,cardiac ventricular morphology contributes to the overall size of the cardiac silhouette.,Uncertain,0
0,cardiomegaly with prominent pulmonary vascular congestion and bilateral perihilar interstitial opacities.,Uncertain,0
0,discrete radiopaque biliary calculus projected over the right hepatic shadow.,Unaligned,5
0,layering opacity along the lateral chest wall indicates pleural effusion.,Uncertain,0
0,mediastinal shift,Uncertain,0
0,pulmonary cicatrix,Uncertain,0
0,solitary circumscribed mass lesion projecting over the right mid lung zone.,Uncertain,0
1,cardiac ventricular morphology contributes to the overall size of the cardiac silhouette.,Uncertain,0
1,"column, vertebral",Unaligned,2
1,layering opacity along the lateral chest wall indicates pleural effusion.,Unaligned,0
1,localized expansile lucency with thin sclerotic margins identified in the clavicular head.,Unaligned,2
1,lower thoracic and upper lumbar vertebrae are identified on the lateral view.,Uncertain,2
1,pericardial effusion,Unaligned,0
1,pigeon breast,Unaligned,2
1,"spine, cervical",Unaligned,2
1,visualized thoracic skeletal deformity with abnormal configuration of the bony thorax.,Uncertain,2
2,discrete radiopaque biliary calculus projected over the right hepatic shadow.,Unaligned,5
2,focal pulmonary opacity with smooth margins located in the left upper lobe.,Unaligned,0
2,gallstone diseases,Uncertain,5
2,generalized thinning of the cortical margins of the visualized ribs.,Unaligned,2
2,multiple ring shadows and tubular opacities consistent with widespread cystic bronchiectasis.,Uncertain,0
2,regional hyperlucency of the upper lung zone with decreased density of pulmonary vasculature.,Uncertain,0
2,the cervical spine demonstrates normal alignment and intact bony cortical margins throughout.,Unaligned,2
2,the costophrenic angles are preserved and show no signs of pleural fluid accumulation.,Uncertain,4
2,the left atrial appendage is located along the mid left heart border.,Uncertain,0
2,tracheal structure,Aligned,0
3,abnormal separation of the articular surfaces within the acromioclavicular joint.,Uncertain,1
3,cystic fibrosis,Uncertain,0
3,dense consolidation obscuring the normal vascular markings in the left lower lung.,Uncertain,0
3,diffuse bilateral peribronchial thickening with prominent central bronchiectasis throughout both lungs.,Uncertain,0
3,diminished size of the hilar vessels with overall decreased pulmonary vascularity.,Uncertain,0
3,homogeneous opacity with ipsilateral mediastinal shift indicating significant lobar collapse.,Uncertain,0
