parent_concept,macro_cluster,tsne_x,tsne_y,cluster_label
lung,0,0.8599263,5.094725,Cluster 0
lung opacity,0,-5.4458,6.276774,Cluster 0
cardiomegaly,0,7.610695,3.4059398,Cluster 0
calcinosis,2,7.437425,-7.154941,Cluster 2
pulmonary atelectasis,0,-3.5815864,2.6699846,Cluster 0
calcified granuloma,0,-7.976972,12.330589,Cluster 0
thoracic vertebrae,2,4.7859645,-15.259573,Cluster 2
pulmonary cicatrix,0,-6.9715104,8.681537,Cluster 0
spine,2,4.0369897,-16.26623,Cluster 2
bronchovascular markings,0,1.1401415,8.591627,Cluster 0
pleural effusion,0,-9.737683,-1.308988,Cluster 0
aorta,0,-2.8610187,-15.4139385,Cluster 0
thoracic diaphragm,3,-8.062736,-6.9589086,Cluster 3
lung density,0,-6.050067,7.3586516,Cluster 0
atherosclerosis,0,-3.6464477,-17.280432,Cluster 0
thoracic skeletal deformity,2,2.0115993,-12.937678,Cluster 2
pulmonary airspace disease,0,-7.419339,4.9193873,Cluster 0
scoliosis,2,2.905466,-12.809383,Cluster 2
pulmonary nodule,0,-6.2756205,11.052748,Cluster 0
granulomatous disease,0,-8.752358,10.335897,Cluster 0
bone fracture,2,9.283669,-9.707171,Cluster 2
"aorta, thoracic",0,-3.5461006,-15.682839,Cluster 0
costophrenic angle,4,-12.8323345,-0.5393832,Cluster 4
osteophyte,2,7.8179245,-9.227957,Cluster 2
pulmonary congestion,0,2.5766382,5.6868143,Cluster 0
spondylosis,2,5.4806843,-12.903888,Cluster 2
pulmonary infiltrate,0,-6.6318483,6.2331843,Cluster 0
emphysema,0,-1.4271922,1.1579132,Cluster 0
cardiac silhouette,0,8.692016,1.4632928,Cluster 0
pleural thickening,0,-9.500167,-2.7633235,Cluster 0
pulmonary granuloma,0,-7.2749195,10.849489,Cluster 0
"pulmonary disease, chronic obstructive",0,-3.0503793,0.95386034,Cluster 0
"hernia, hiatal",3,-4.494515,-7.433947,Cluster 3
pulmonary edema,0,2.7877614,4.556402,Cluster 0
pneumonia,0,-5.6980796,3.9206927,Cluster 0
pulmonary emphysema,0,-1.5029393,1.8716677,Cluster 0
kyphosis,2,3.2371666,-11.604705,Cluster 2
diaphragmatic eventration,3,-6.788036,-6.7437215,Cluster 3
arthritis,1,10.206205,-7.7560225,Cluster 1
pulmonary consolidation,0,-5.8492985,5.0860147,Cluster 0
"bone diseases, metabolic",2,7.4812684,-11.027426,Cluster 2
mediastinum,0,-3.0912995,-13.683213,Cluster 0
