macro_cluster,Aligned,Unaligned,Uncertain
0,4.249114767756717,20.204124140804,75.54676109143928
1,21.076523994811932,42.023346303501945,36.900129701686126
2,5.146364494806422,22.285174693106704,72.56846081208688
3,0.881704628949302,23.512123438648054,75.60617193240265
4,10.0,4.0,86.0
5,0.1455604075691412,28.38427947598253,71.47016011644833
6,4.597701149425287,3.4482758620689653,91.95402298850574
7,0.5617977528089888,28.651685393258425,70.78651685393258
8,4.380664652567976,36.25377643504532,59.3655589123867
9,49.23076923076923,3.4615384615384617,47.30769230769231
