image_index,concept,verdict,macro_cluster
0,atheroscleroses,Uncertain,0
0,atrial structure (body structure),Uncertain,0
0,cardiac ventricular morphology contributes to the overall size of the cardiac silhouette.,Uncertain,0
0,cardiomegaly with prominent pulmonary vascular congestion and bilateral perihilar interstitial opacities.,Uncertain,0
0,cervical spines,Uncertain,0
0,"column, vertebral",Uncertain,0
0,dense amorphous calcifications identified along the thoracic wall soft tissue planes.,Uncertain,0
0,discrete radiopaque biliary calculus projected over the right hepatic shadow.,Unaligned,2
0,enlarged cardiac silhouette associated with diffuse bilateral pulmonary venous hypertension and edema.,Uncertain,0
0,focal pulmonary opacity with smooth margins located in the left upper lobe.,Uncertain,0
0,forestiers disease,Uncertain,0
0,gallstone diseases,Uncertain,2
0,globular heart shape suggesting an increase in the pericardial space.,Uncertain,0
0,keeled chest,Uncertain,0
0,large air filled bullae are identified within the apical lung regions.,Uncertain,0
0,layering opacity along the lateral chest wall indicates pleural effusion.,Uncertain,0
0,lucent fracture line extending through the mid shaft of the left humerus.,Unaligned,0
0,mediastinal shift,Uncertain,0
0,miliary lupoid of boeck,Uncertain,0
0,pigeon breast,Uncertain,0
0,pulmonary cicatrix,Uncertain,0
0,solitary circumscribed mass lesion projecting over the right mid lung zone.,Uncertain,0
0,structure of yellow fat,Uncertain,1
0,the left atrial appendage is located along the mid left heart border.,Uncertain,0
0,the pulmonary artery segment maintains a normal contour along the left heart border.,Uncertain,0
0,the pulmonary artery trunk demonstrates normal caliber and smooth lateral mediastinal margins.,Unaligned,0
0,the tracheal bifurcation is clearly visualized with a sharp carinal angle.,Unaligned,0
0,thoracic aorta appears as a well defined tubular structure within the superior mediastinum.,Aligned,0
0,tortuous thoracic aorta with extensive mural calcification along the aortic knob.,Unaligned,0
0,unexpanded lung,Uncertain,0
0,visualized thoracic skeletal deformity with abnormal configuration of the bony thorax.,Uncertain,0
1,atheroscleroses,Unaligned,0
1,atrial structure (body structure),Aligned,0
1,bilateral hilar lymphadenopathy with prominent right paratracheal nodal enlargement is noted.,Unaligned,0
1,calculus in biliary tract,Unaligned,2
1,cardiac ventricular morphology contributes to the overall size of the cardiac silhouette.,Aligned,0
1,cardiomegaly (disorder),Unaligned,0
